,path,dataset,device,wn_id,im_id,eeg_session,global_session,inet_path
0,data/mind-big-data/MindBigData_Imagenet_Insight_n06874185_7720_1_1752.csv,Imagenet,Insight,n06874185,7720,1,1752,data/mind-big-data-imagenet/n06874185/n06874185_7720.JPEG
1,data/mind-big-data/MindBigData_Imagenet_Insight_n03599486_3112_1_2091.csv,Imagenet,Insight,n03599486,3112,1,2091,data/mind-big-data-imagenet/n03599486/n03599486_3112.JPEG
2,data/mind-big-data/MindBigData_Imagenet_Insight_n02085620_477_1_995.csv,Imagenet,Insight,n02085620,477,1,995,data/mind-big-data-imagenet/n02085620/n02085620_477.JPEG
3,data/mind-big-data/MindBigData_Imagenet_Insight_n04536866_24233_1_1638.csv,Imagenet,Insight,n04536866,24233,1,1638,data/mind-big-data-imagenet/n04536866/n04536866_24233.JPEG
4,data/mind-big-data/MindBigData_Imagenet_Insight_n03769881_5552_1_2309.csv,Imagenet,Insight,n03769881,5552,1,2309,data/mind-big-data-imagenet/n03769881/n03769881_5552.JPEG
5,data/mind-big-data/MindBigData_Imagenet_Insight_n02123597_1639_1_598.csv,Imagenet,Insight,n02123597,1639,1,598,data/mind-big-data-imagenet/n02123597/n02123597_1639.JPEG
6,data/mind-big-data/MindBigData_Imagenet_Insight_n03125729_15015_1_125.csv,Imagenet,Insight,n03125729,15015,1,125,data/mind-big-data-imagenet/n03125729/n03125729_15015.JPEG
7,data/mind-big-data/MindBigData_Imagenet_Insight_n02096585_9281_1_2055.csv,Imagenet,Insight,n02096585,9281,1,2055,data/mind-big-data-imagenet/n02096585/n02096585_9281.JPEG
8,data/mind-big-data/MindBigData_Imagenet_Insight_n02090721_6650_1_801.csv,Imagenet,Insight,n02090721,6650,1,801,data/mind-big-data-imagenet/n02090721/n02090721_6650.JPEG
9,data/mind-big-data/MindBigData_Imagenet_Insight_n03337140_4896_1_939.csv,Imagenet,Insight,n03337140,4896,1,939,data/mind-big-data-imagenet/n03337140/n03337140_4896.JPEG
10,data/mind-big-data/MindBigData_Imagenet_Insight_n04468005_7740_1_342.csv,Imagenet,Insight,n04468005,7740,1,342,data/mind-big-data-imagenet/n04468005/n04468005_7740.JPEG
11,data/mind-big-data/MindBigData_Imagenet_Insight_n02355227_2164_1_2539.csv,Imagenet,Insight,n02355227,2164,1,2539,data/mind-big-data-imagenet/n02355227/n02355227_2164.JPEG
12,data/mind-big-data/MindBigData_Imagenet_Insight_n04070727_16664_1_393.csv,Imagenet,Insight,n04070727,16664,1,393,data/mind-big-data-imagenet/n04070727/n04070727_16664.JPEG
13,data/mind-big-data/MindBigData_Imagenet_Insight_n03513137_5604_1_2577.csv,Imagenet,Insight,n03513137,5604,1,2577,data/mind-big-data-imagenet/n03513137/n03513137_5604.JPEG
14,data/mind-big-data/MindBigData_Imagenet_Insight_n03416640_39244_1_1723.csv,Imagenet,Insight,n03416640,39244,1,1723,data/mind-big-data-imagenet/n03416640/n03416640_39244.JPEG
15,data/mind-big-data/MindBigData_Imagenet_Insight_n01694178_416_1_1932.csv,Imagenet,Insight,n01694178,416,1,1932,data/mind-big-data-imagenet/n01694178/n01694178_416.JPEG
16,data/mind-big-data/MindBigData_Imagenet_Insight_n03085013_8462_1_2325.csv,Imagenet,Insight,n03085013,8462,1,2325,data/mind-big-data-imagenet/n03085013/n03085013_8462.JPEG
17,data/mind-big-data/MindBigData_Imagenet_Insight_n07718747_2732_1_2607.csv,Imagenet,Insight,n07718747,2732,1,2607,data/mind-big-data-imagenet/n07718747/n07718747_2732.JPEG
18,data/mind-big-data/MindBigData_Imagenet_Insight_n01833805_563_1_888.csv,Imagenet,Insight,n01833805,563,1,888,data/mind-big-data-imagenet/n01833805/n01833805_563.JPEG
19,data/mind-big-data/MindBigData_Imagenet_Insight_n01601694_10613_1_4.csv,Imagenet,Insight,n01601694,10613,1,4,data/mind-big-data-imagenet/n01601694/n01601694_10613.JPEG
20,data/mind-big-data/MindBigData_Imagenet_Insight_n01833805_3625_1_2607.csv,Imagenet,Insight,n01833805,3625,1,2607,data/mind-big-data-imagenet/n01833805/n01833805_3625.JPEG
